SeriesNumber,DumpNumber,EventTriggerID
23231217135018,8,15693
23231217135018,8,16598
23231217135018,8,16877
23231217135018,8,17110
23231217135018,8,17423
23231217135018,8,17470
23231217135018,9,18655
23231217135018,9,18920
23231217135018,9,19525
23231217135018,9,19932
23231217135018,10,20879
23231217135018,10,20983
23231217135018,10,21273
23231217135018,10,21281
23231217135018,10,22485
23231217135018,11,25267
23231217135018,11,25271
23231217135018,12,26311
23231217135018,12,26752
23231217135018,12,26795
23231217135018,12,26953
23231217135018,12,26957
23231217135018,12,27627
23231217135018,12,28568
23231217135018,13,29279
23231217135018,13,29286
23231217135018,13,29976
23231217135018,13,30702
23231217135018,14,31597
23231217135018,14,31666
23231217135018,14,31673
23231217135018,14,31677
23231217135018,14,31771
23231217135018,14,32146
23231217135018,14,32152
23231217135018,14,33061
23231217135018,14,33092
23231217135018,14,33754
23231217135018,14,33894
23231217135018,14,33900
23231217135018,14,34289
23231217135018,15,35010
23231217135018,15,35017
23231217135018,15,37150
23231217135018,16,37308
23231217135018,16,38731
23231217135018,16,38735
23231217135018,16,38766
23231217135018,16,39582
23231217135018,17,40007
23231217135018,17,41827
23231217135018,18,42617
23231217135018,18,44038
23231217135018,18,44087
23231217135018,19,46883
23231217135018,20,48686
23231217135018,20,49805
23231217135018,20,49936
23231217135018,20,50956
23231217135018,22,54912
23231217135018,22,55400
23231217135018,22,55405
23231217135018,23,56513
23231217135018,23,56675
23231217135018,23,57510
23231217135018,23,57514
23231217135018,23,57826
23231217135018,23,57834
23231217135018,23,58329
23231217135018,23,58335
23231217135018,24,59233
23231217135018,24,59321
23231217135018,26,63848
23231217135018,26,64469
23231217135018,26,64474
23231217135018,27,66078
23231217135018,27,66553
23231217135018,27,67359
23231217135018,27,67378
23231217135018,27,67441
23231217135018,27,67447
23231217135018,28,68923
23231217135018,28,69634
23231217135018,28,70322
23231217135018,28,70467
23231217135018,28,70723
23231217135018,28,70732
23231217135018,29,71617
23231217135018,29,72021
23231217135018,29,72024
23231217135018,29,72398
23231217135018,29,73100
23231217135018,29,73294
23231217135018,30,74204
23231217135018,30,74211
23231217135018,30,74752
23231217135018,31,77292
23231217135018,31,78031
23231217135018,31,78796
23231217135018,33,82442
23231217135018,33,82955
23231217135018,33,83088
23231217135018,33,84046
23231217135018,33,84776
23231217135018,33,84840
23231217135018,33,85432
23231217135018,33,85481
23231217135018,33,85485
23231217135018,34,86974
23231217135018,34,87167
23231217135018,34,88677
23231217135018,35,91211
23231217135018,35,91913
23231217135018,35,92709
23231217135018,36,93467
23231217135018,36,94108
23231217135018,36,94118
23231217135018,36,95796
23231217135018,36,95998
23231217135018,36,96251
23231217135018,37,97140
23231217135018,37,99383
23231217171613,6,4702
23231217171613,6,4771
23231217171613,6,4923
23231217171613,6,5203
23231217171613,6,5379
23231217171613,7,6853
23231217171613,7,7326
23231217171613,7,7545
23231217171613,7,8410
23231217171613,8,8837
23231217171613,8,8842
23231217171613,8,8938
23231217171613,8,9989
23231217171613,9,10802
23231217171613,9,10806
23231217171613,9,12135
23231217171613,9,12613
23231217171613,10,12843
23231217171613,10,13144
23231217171613,10,13246
23231217171613,10,13473
23231217171613,10,13554
23231217171613,10,14835
23231217171613,10,14837
23231217171613,11,15327
23231217171613,11,15356
23231217171613,11,15823
23231217171613,11,16155
23231217171613,12,17334
23231217171613,12,17992
23231217171613,12,18242
23231217171613,12,18245
23231217171613,12,18600
23231217171613,12,19081
23231217171613,13,20063
23231217171613,13,20201
23231217171613,14,22374
23231217171613,14,22613
23231217171613,14,22647
23231217171613,14,22925
23231217171613,14,23001
23231217171613,15,24304
23231217171613,15,24307
23231217171613,15,24811
23231217171613,16,25396
23231217171613,16,25431
